year,period,week_ending,state,state_ansi,watershed,data_item,value,cv
2017,MARKETING YEAR,,ALABAMA,1,,INVENTORY,7000,
2017,MARKETING YEAR,,ARIZONA,4,,INVENTORY,22000,
2017,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,29000,
2017,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,335000,
2017,MARKETING YEAR,,COLORADO,8,,INVENTORY,33000,
2017,MARKETING YEAR,,FLORIDA,12,,INVENTORY,205000,
2017,MARKETING YEAR,,GEORGIA,13,,INVENTORY,99000,
2017,MARKETING YEAR,,HAWAII,15,,INVENTORY,12000,
2017,MARKETING YEAR,,IDAHO,16,,INVENTORY,95000,
2017,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,11000,
2017,MARKETING YEAR,,INDIANA,18,,INVENTORY,7000,
2017,MARKETING YEAR,,IOWA,19,,INVENTORY,35000,
2017,MARKETING YEAR,,KANSAS,20,,INVENTORY,7000,
2017,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2017,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,43000,
2017,MARKETING YEAR,,MAINE,23,,INVENTORY,12000,
2017,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,87000,
2017,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,126000,
2017,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,13000,
2017,MARKETING YEAR,,MISSOURI,29,,INVENTORY,8000,
2017,MARKETING YEAR,,MONTANA,30,,INVENTORY,145000,
2017,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,42000,
2017,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,13000,
2017,MARKETING YEAR,,NEW YORK,36,,INVENTORY,57000,
2017,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,11000,
2017,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,455000,
2017,MARKETING YEAR,,OHIO,39,,INVENTORY,15000,
2017,MARKETING YEAR,,OREGON,41,,INVENTORY,78000,
2017,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,16000,
2017,MARKETING YEAR,,SOUTH CAROLINA,45,,INVENTORY,16000,
2017,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,255000,
2017,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,7000,
2017,MARKETING YEAR,,TEXAS,48,,INVENTORY,120000,
2017,MARKETING YEAR,,UTAH,49,,INVENTORY,27000,
2017,MARKETING YEAR,,VERMONT,50,,INVENTORY,7000,
2017,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,5000,
2017,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,77000,
2017,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,6000,
2017,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,53000,
2017,MARKETING YEAR,,WYOMING,56,,INVENTORY,39000,
2016,MARKETING YEAR,,ALABAMA,1,,INVENTORY,7000,
2016,MARKETING YEAR,,ARIZONA,4,,INVENTORY,27000,
2016,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,24000,
2016,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,310000,
2016,MARKETING YEAR,,COLORADO,8,,INVENTORY,32000,
2016,MARKETING YEAR,,FLORIDA,12,,INVENTORY,215000,
2016,MARKETING YEAR,,GEORGIA,13,,INVENTORY,96000,
2016,MARKETING YEAR,,HAWAII,15,,INVENTORY,16000,
2016,MARKETING YEAR,,IDAHO,16,,INVENTORY,97000,
2016,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,10000,
2016,MARKETING YEAR,,INDIANA,18,,INVENTORY,7000,
2016,MARKETING YEAR,,IOWA,19,,INVENTORY,37000,
2016,MARKETING YEAR,,KANSAS,20,,INVENTORY,7000,
2016,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2016,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,50000,
2016,MARKETING YEAR,,MAINE,23,,INVENTORY,12000,
2016,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,89000,
2016,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,124000,
2016,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,19000,
2016,MARKETING YEAR,,MISSOURI,29,,INVENTORY,8000,
2016,MARKETING YEAR,,MONTANA,30,,INVENTORY,159000,
2016,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,48000,
2016,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,12000,
2016,MARKETING YEAR,,NEW YORK,36,,INVENTORY,64000,
2016,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,12000,
2016,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,485000,
2016,MARKETING YEAR,,OHIO,39,,INVENTORY,15000,
2016,MARKETING YEAR,,OREGON,41,,INVENTORY,74000,
2016,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,19000,
2016,MARKETING YEAR,,SOUTH CAROLINA,45,,INVENTORY,16000,
2016,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,280000,
2016,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,6000,
2016,MARKETING YEAR,,TEXAS,48,,INVENTORY,133000,
2016,MARKETING YEAR,,UTAH,49,,INVENTORY,31000,
2016,MARKETING YEAR,,VERMONT,50,,INVENTORY,6000,
2016,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,5000,
2016,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,84000,
2016,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,5000,
2016,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,54000,
2016,MARKETING YEAR,,WYOMING,56,,INVENTORY,40000,
2015,MARKETING YEAR,,ALABAMA,1,,INVENTORY,7000,
2015,MARKETING YEAR,,ARIZONA,4,,INVENTORY,26000,
2015,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,24000,
2015,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,275000,
2015,MARKETING YEAR,,COLORADO,8,,INVENTORY,29000,
2015,MARKETING YEAR,,FLORIDA,12,,INVENTORY,220000,
2015,MARKETING YEAR,,GEORGIA,13,,INVENTORY,69000,
2015,MARKETING YEAR,,HAWAII,15,,INVENTORY,14000,
2015,MARKETING YEAR,,IDAHO,16,,INVENTORY,89000,
2015,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,8000,
2015,MARKETING YEAR,,INDIANA,18,,INVENTORY,6000,
2015,MARKETING YEAR,,IOWA,19,,INVENTORY,36000,
2015,MARKETING YEAR,,KANSAS,20,,INVENTORY,8000,
2015,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2015,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,44000,
2015,MARKETING YEAR,,MAINE,23,,INVENTORY,10000,
2015,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,90000,
2015,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,122000,
2015,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,15000,
2015,MARKETING YEAR,,MISSOURI,29,,INVENTORY,10000,
2015,MARKETING YEAR,,MONTANA,30,,INVENTORY,146000,
2015,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,57000,
2015,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,12000,
2015,MARKETING YEAR,,NEW YORK,36,,INVENTORY,58000,
2015,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,12000,
2015,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,490000,
2015,MARKETING YEAR,,OHIO,39,,INVENTORY,17000,
2015,MARKETING YEAR,,OREGON,41,,INVENTORY,71000,
2015,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,17000,
2015,MARKETING YEAR,,SOUTH CAROLINA,45,,INVENTORY,14000,
2015,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,290000,
2015,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,7000,
2015,MARKETING YEAR,,TEXAS,48,,INVENTORY,126000,
2015,MARKETING YEAR,,UTAH,49,,INVENTORY,27000,
2015,MARKETING YEAR,,VERMONT,50,,INVENTORY,5000,
2015,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,6000,
2015,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,73000,
2015,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,5000,
2015,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,52000,
2015,MARKETING YEAR,,WYOMING,56,,INVENTORY,38000,
2014,MARKETING YEAR,,ALABAMA,1,,INVENTORY,7000,
2014,MARKETING YEAR,,ARIZONA,4,,INVENTORY,26000,
2014,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,21000,
2014,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,320000,
2014,MARKETING YEAR,,COLORADO,8,,INVENTORY,27000,
2014,MARKETING YEAR,,FLORIDA,12,,INVENTORY,245000,
2014,MARKETING YEAR,,GEORGIA,13,,INVENTORY,73000,
2014,MARKETING YEAR,,HAWAII,15,,INVENTORY,15000,
2014,MARKETING YEAR,,IDAHO,16,,INVENTORY,100000,
2014,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,8000,
2014,MARKETING YEAR,,INDIANA,18,,INVENTORY,5000,
2014,MARKETING YEAR,,IOWA,19,,INVENTORY,35000,
2014,MARKETING YEAR,,KANSAS,20,,INVENTORY,7000,
2014,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2014,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,48000,
2014,MARKETING YEAR,,MAINE,23,,INVENTORY,8000,
2014,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,91000,
2014,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,132000,
2014,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,20000,
2014,MARKETING YEAR,,MISSOURI,29,,INVENTORY,12000,
2014,MARKETING YEAR,,MONTANA,30,,INVENTORY,162000,
2014,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,50000,
2014,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,12000,
2014,MARKETING YEAR,,NEW YORK,36,,INVENTORY,60000,
2014,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,12000,
2014,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,490000,
2014,MARKETING YEAR,,OHIO,39,,INVENTORY,15000,
2014,MARKETING YEAR,,OREGON,41,,INVENTORY,71000,
2014,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,17000,
2014,MARKETING YEAR,,SOUTH CAROLINA,45,,INVENTORY,9000,
2014,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,280000,
2014,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,7000,
2014,MARKETING YEAR,,TEXAS,48,,INVENTORY,116000,
2014,MARKETING YEAR,,UTAH,49,,INVENTORY,29000,
2014,MARKETING YEAR,,VERMONT,50,,INVENTORY,3000,
2014,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,6000,
2014,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,68000,
2014,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,6000,
2014,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,53000,
2014,MARKETING YEAR,,WYOMING,56,,INVENTORY,38000,
2013,MARKETING YEAR,,ALABAMA,1,,INVENTORY,7000,
2013,MARKETING YEAR,,ARIZONA,4,,INVENTORY,29000,
2013,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,22000,
2013,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,330000,
2013,MARKETING YEAR,,COLORADO,8,,INVENTORY,26000,
2013,MARKETING YEAR,,FLORIDA,12,,INVENTORY,220000,
2013,MARKETING YEAR,,GEORGIA,13,,INVENTORY,67000,
2013,MARKETING YEAR,,HAWAII,15,,INVENTORY,13000,
2013,MARKETING YEAR,,IDAHO,16,,INVENTORY,83000,
2013,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,7000,
2013,MARKETING YEAR,,INDIANA,18,,INVENTORY,6000,
2013,MARKETING YEAR,,IOWA,19,,INVENTORY,39000,
2013,MARKETING YEAR,,KANSAS,20,,INVENTORY,6000,
2013,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,3000,
2013,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,50000,
2013,MARKETING YEAR,,MAINE,23,,INVENTORY,7000,
2013,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,85000,
2013,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,130000,
2013,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,17000,
2013,MARKETING YEAR,,MISSOURI,29,,INVENTORY,10000,
2013,MARKETING YEAR,,MONTANA,30,,INVENTORY,159000,
2013,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,46000,
2013,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,11000,
2013,MARKETING YEAR,,NEW YORK,36,,INVENTORY,55000,
2013,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,10000,
2013,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,480000,
2013,MARKETING YEAR,,OHIO,39,,INVENTORY,17000,
2013,MARKETING YEAR,,OREGON,41,,INVENTORY,62000,
2013,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,13000,
2013,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,265000,
2013,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,7000,
2013,MARKETING YEAR,,TEXAS,48,,INVENTORY,106000,
2013,MARKETING YEAR,,UTAH,49,,INVENTORY,30000,
2013,MARKETING YEAR,,VERMONT,50,,INVENTORY,3000,
2013,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,5000,
2013,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,69000,
2013,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,6000,
2013,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,59000,
2013,MARKETING YEAR,,WYOMING,56,,INVENTORY,47000,
2012,MARKETING YEAR,,ALABAMA,1,,INVENTORY,8000,
2012,MARKETING YEAR,,ARIZONA,4,,INVENTORY,22000,
2012,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,25000,
2012,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,330000,
2012,MARKETING YEAR,,COLORADO,8,,INVENTORY,25000,
2012,MARKETING YEAR,,FLORIDA,12,,INVENTORY,193000,
2012,MARKETING YEAR,,GEORGIA,13,,INVENTORY,59000,
2012,MARKETING YEAR,,HAWAII,15,,INVENTORY,10000,
2012,MARKETING YEAR,,IDAHO,16,,INVENTORY,92000,
2012,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,7000,
2012,MARKETING YEAR,,INDIANA,18,,INVENTORY,8000,
2012,MARKETING YEAR,,IOWA,19,,INVENTORY,37000,
2012,MARKETING YEAR,,KANSAS,20,,INVENTORY,6000,
2012,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2012,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,41000,
2012,MARKETING YEAR,,MAINE,23,,INVENTORY,4000,
2012,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,73000,
2012,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,125000,
2012,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,18000,
2012,MARKETING YEAR,,MISSOURI,29,,INVENTORY,7000,
2012,MARKETING YEAR,,MONTANA,30,,INVENTORY,145000,
2012,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,43000,
2012,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,14000,
2012,MARKETING YEAR,,NEW MEXICO,35,,INVENTORY,5000,
2012,MARKETING YEAR,,NEW YORK,36,,INVENTORY,51000,
2012,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,13000,
2012,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,480000,
2012,MARKETING YEAR,,OHIO,39,,INVENTORY,18000,
2012,MARKETING YEAR,,OREGON,41,,INVENTORY,60000,
2012,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,16000,
2012,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,260000,
2012,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,6000,
2012,MARKETING YEAR,,TEXAS,48,,INVENTORY,92000,
2012,MARKETING YEAR,,UTAH,49,,INVENTORY,25000,
2012,MARKETING YEAR,,VERMONT,50,,INVENTORY,4000,
2012,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,4000,
2012,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,62000,
2012,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,6000,
2012,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,60000,
2012,MARKETING YEAR,,WYOMING,56,,INVENTORY,50000,
2011,MARKETING YEAR,,ALABAMA,1,,INVENTORY,9000,
2011,MARKETING YEAR,,ARIZONA,4,,INVENTORY,23000,
2011,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,22000,
2011,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,370000,
2011,MARKETING YEAR,,COLORADO,8,,INVENTORY,31000,
2011,MARKETING YEAR,,FLORIDA,12,,INVENTORY,180000,
2011,MARKETING YEAR,,GEORGIA,13,,INVENTORY,65000,
2011,MARKETING YEAR,,HAWAII,15,,INVENTORY,9000,
2011,MARKETING YEAR,,IDAHO,16,,INVENTORY,87000,
2011,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,7000,
2011,MARKETING YEAR,,INDIANA,18,,INVENTORY,8000,
2011,MARKETING YEAR,,IOWA,19,,INVENTORY,25000,
2011,MARKETING YEAR,,KANSAS,20,,INVENTORY,7000,
2011,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,4000,
2011,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,36000,
2011,MARKETING YEAR,,MAINE,23,,INVENTORY,4000,
2011,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,74000,
2011,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,120000,
2011,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,18000,
2011,MARKETING YEAR,,MISSOURI,29,,INVENTORY,8000,
2011,MARKETING YEAR,,MONTANA,30,,INVENTORY,145000,
2011,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,41000,
2011,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,11000,
2011,MARKETING YEAR,,NEW MEXICO,35,,INVENTORY,7000,
2011,MARKETING YEAR,,NEW YORK,36,,INVENTORY,49000,
2011,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,14000,
2011,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,460000,
2011,MARKETING YEAR,,OHIO,39,,INVENTORY,15000,
2011,MARKETING YEAR,,OREGON,41,,INVENTORY,60000,
2011,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,24000,
2011,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,250000,
2011,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,7000,
2011,MARKETING YEAR,,TEXAS,48,,INVENTORY,78000,
2011,MARKETING YEAR,,UTAH,49,,INVENTORY,23000,
2011,MARKETING YEAR,,VERMONT,50,,INVENTORY,4000,
2011,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,4000,
2011,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,71000,
2011,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,4000,
2011,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,57000,
2011,MARKETING YEAR,,WYOMING,56,,INVENTORY,35000,
2010,MARKETING YEAR,,ALABAMA,1,,INVENTORY,9000,
2010,MARKETING YEAR,,ARIZONA,4,,INVENTORY,24000,
2010,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,25000,
2010,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,410000,
2010,MARKETING YEAR,,COLORADO,8,,INVENTORY,34000,
2010,MARKETING YEAR,,FLORIDA,12,,INVENTORY,200000,
2010,MARKETING YEAR,,GEORGIA,13,,INVENTORY,55000,
2010,MARKETING YEAR,,HAWAII,15,,INVENTORY,10000,
2010,MARKETING YEAR,,IDAHO,16,,INVENTORY,97000,
2010,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,9000,
2010,MARKETING YEAR,,INDIANA,18,,INVENTORY,10000,
2010,MARKETING YEAR,,IOWA,19,,INVENTORY,27000,
2010,MARKETING YEAR,,KANSAS,20,,INVENTORY,9000,
2010,MARKETING YEAR,,KENTUCKY,21,,INVENTORY,5000,
2010,MARKETING YEAR,,LOUISIANA,22,,INVENTORY,36000,
2010,MARKETING YEAR,,MAINE,23,,INVENTORY,5000,
2010,MARKETING YEAR,,MICHIGAN,26,,INVENTORY,71000,
2010,MARKETING YEAR,,MINNESOTA,27,,INVENTORY,128000,
2010,MARKETING YEAR,,MISSISSIPPI,28,,INVENTORY,16000,
2010,MARKETING YEAR,,MISSOURI,29,,INVENTORY,11000,
2010,MARKETING YEAR,,MONTANA,30,,INVENTORY,157000,
2010,MARKETING YEAR,,NEBRASKA,31,,INVENTORY,41000,
2010,MARKETING YEAR,,NEW JERSEY,34,,INVENTORY,13000,
2010,MARKETING YEAR,,NEW MEXICO,35,,INVENTORY,7000,
2010,MARKETING YEAR,,NEW YORK,36,,INVENTORY,45000,
2010,MARKETING YEAR,,NORTH CAROLINA,37,,INVENTORY,13000,
2010,MARKETING YEAR,,NORTH DAKOTA,38,,INVENTORY,510000,
2010,MARKETING YEAR,,OHIO,39,,INVENTORY,18000,
2010,MARKETING YEAR,,OREGON,41,,INVENTORY,59000,
2010,MARKETING YEAR,,PENNSYLVANIA,42,,INVENTORY,30000,
2010,MARKETING YEAR,,SOUTH DAKOTA,46,,INVENTORY,265000,
2010,MARKETING YEAR,,TENNESSEE,47,,INVENTORY,8000,
2010,MARKETING YEAR,,TEXAS,48,,INVENTORY,100000,
2010,MARKETING YEAR,,UTAH,49,,INVENTORY,26000,
2010,MARKETING YEAR,,VERMONT,50,,INVENTORY,4000,
2010,MARKETING YEAR,,VIRGINIA,51,,INVENTORY,5000,
2010,MARKETING YEAR,,WASHINGTON,53,,INVENTORY,71000,
2010,MARKETING YEAR,,WEST VIRGINIA,54,,INVENTORY,5000,
2010,MARKETING YEAR,,WISCONSIN,55,,INVENTORY,64000,
2010,MARKETING YEAR,,WYOMING,56,,INVENTORY,34000,
2009,MARKETING YEAR,,ALABAMA,1,,INVENTORY,9000,
2009,MARKETING YEAR,,ARIZONA,4,,INVENTORY,20000,
2009,MARKETING YEAR,,ARKANSAS,5,,INVENTORY,24000,
2009,MARKETING YEAR,,CALIFORNIA,6,,INVENTORY,355000,
2009,MARKETING YEAR,,COLORADO,8,,INVENTORY,28000,
2009,MARKETING YEAR,,FLORIDA,12,,INVENTORY,170000,
2009,MARKETING YEAR,,GEORGIA,13,,INVENTORY,65000,
2009,MARKETING YEAR,,HAWAII,15,,INVENTORY,10000,
2009,MARKETING YEAR,,IDAHO,16,,INVENTORY,103000,
2009,MARKETING YEAR,,ILLINOIS,17,,INVENTORY,8000,
2009,MARKETING YEAR,,INDIANA,18,,INVENTORY,9000,
2009,MARKETING YEAR,,IOWA,19,,INVENTORY,26000,
